TrialTypes (0->fixation; 1->faces instruct; 2->shapes instruct; 3->faces match; 4->shapes match),Stimuli (0->top; 1->left; 2->right), Durations, Correct Response (0->none; 1->left; 2->right)
0,media/Cross.bmp media/blank.bmp media/blank.bmp,4,0
2,media/mform.bmp media/blank.bmp media/blank.bmp,2,0
4,media/vertical.bmp media/vertical.bmp media/horizontal.bmp,5,1
4,media/horizontal.bmp media/horizontal.bmp media/circle.bmp,5,1
4,media/vertical.bmp media/horizontal.bmp media/vertical.bmp,5,2
4,media/circle.bmp media/vertical.bmp media/circle.bmp,5,2
4,media/circle.bmp media/circle.bmp media/horizontal.bmp,5,1
4,media/horizontal.bmp media/circle.bmp media/horizontal.bmp,5,2
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
1,media/memotion.bmp media/blank.bmp media/blank.bmp,2,0
3,media/anger7jf.bmp media/happy5jm.bmp media/anger6jm.bmp,5,2
3,media/anger1cm.bmp media/happy8jf.bmp media/anger2cm.bmp,5,2
3,media/anger5jm.bmp media/anger4cf.bmp media/happy4cf.bmp,5,1
3,media/anger6jm.bmp media/fear6jm.bmp media/anger1cm.bmp,5,2
3,media/anger2cm.bmp media/anger8jf.bmp media/fear3cf.bmp,5,1
3,media/anger4cf.bmp media/anger5jm.bmp media/fear2cm.bmp,5,1
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
1,media/memotion.bmp media/blank.bmp media/blank.bmp,2,0
3,media/fear1cm.bmp media/happy7jf.bmp media/fear2cm.bmp,5,2
3,media/fear4cf.bmp media/fear8jf.bmp media/anger7jf.bmp,5,1
3,media/fear2cm.bmp media/fear5jm.bmp media/anger7jf.bmp,5,1
3,media/fear6jm.bmp media/fear4cf.bmp media/happy1cm.bmp,5,1
3,media/fear8jf.bmp media/happy4cf.bmp media/fear1cm.bmp,5,2
3,media/fear5jm.bmp media/anger3cf.bmp media/fear6jm.bmp,5,2
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
1,media/memotion.bmp media/blank.bmp media/blank.bmp,2,0
3,media/happy6jm.bmp media/anger1cm.bmp media/happy1cm.bmp,5,2
3,media/happy1cm.bmp media/happy3cf.bmp media/anger2cm.bmp,5,1
3,media/happy4cf.bmp media/happy3cf.bmp media/fear6jm.bmp,5,1
3,media/happy8jf.bmp media/fear7jf.bmp media/happy1cm.bmp,5,2
3,media/happy5jm.bmp media/fear2cm.bmp media/happy6jm.bmp,5,2
3,media/happy3cf.bmp media/happy6jm.bmp media/anger3cf.bmp,5,1
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
2,media/mform.bmp media/blank.bmp media/blank.bmp,2,0
4,media/vertical.bmp media/circle.bmp media/vertical.bmp,5,2
4,media/horizontal.bmp media/vertical.bmp media/horizontal.bmp,5,2
4,media/vertical.bmp media/vertical.bmp media/circle.bmp,5,1
4,media/circle.bmp media/horizontal.bmp media/circle.bmp,5,2
4,media/circle.bmp media/circle.bmp media/vertical.bmp,5,1
4,media/horizontal.bmp media/horizontal.bmp media/vertical.bmp,5,1
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
1,media/memotion.bmp media/blank.bmp media/blank.bmp,2,0
3,media/fear2cm.bmp media/fear3cf.bmp media/happy3cf.bmp,5,1
3,media/fear7jf.bmp media/anger2cm.bmp media/fear2cm.bmp,5,2
3,media/fear6jm.bmp media/fear2cm.bmp media/anger5jm.bmp,5,1
3,media/fear1cm.bmp media/anger4cf.bmp media/fear8jf.bmp,5,2
3,media/fear3cf.bmp media/happy3cf.bmp media/fear7jf.bmp,5,2
3,media/fear8jf.bmp media/fear6jm.bmp media/happy1cm.bmp,5,1
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
1,media/memotion.bmp media/blank.bmp media/blank.bmp,2,0
3,media/anger3cf.bmp media/happy7jf.bmp media/anger6jm.bmp,5,2
3,media/anger2cm.bmp media/anger7jf.bmp media/happy3cf.bmp,5,1
3,media/anger1cm.bmp media/fear8jf.bmp media/anger8jf.bmp,5,2
3,media/anger6jm.bmp media/anger3cf.bmp media/fear7jf.bmp,5,1
3,media/anger8jf.bmp media/fear4cf.bmp media/anger1cm.bmp,5,2
3,media/anger7jf.bmp media/anger2cm.bmp media/happy5jm.bmp,5,1
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
1,media/memotion.bmp media/blank.bmp media/blank.bmp,2,0
3,media/happy4cf.bmp media/happy8jf.bmp media/anger4cf.bmp,5,1
3,media/happy1cm.bmp media/anger2cm.bmp media/happy5jm.bmp,5,2
3,media/happy7jf.bmp media/anger6jm.bmp media/happy4cf.bmp,5,2
3,media/happy5jm.bmp media/fear5jm.bmp media/happy1cm.bmp,5,2
3,media/happy8jf.bmp media/happy7jf.bmp media/fear8jf.bmp,5,1
3,media/happy2cm.bmp media/happy1cm.bmp media/fear6jm.bmp,5,1
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
1,media/memotion.bmp media/blank.bmp media/blank.bmp,2,0
3,media/fear4cf.bmp media/fear6jm.bmp media/happy6jm.bmp,5,1
3,media/fear7jf.bmp media/happy1cm.bmp media/fear2cm.bmp,5,2
3,media/fear8jf.bmp media/fear3cf.bmp media/anger7jf.bmp,5,1
3,media/fear2cm.bmp media/fear4cf.bmp media/anger8jf.bmp,5,1
3,media/fear3cf.bmp media/anger6jm.bmp media/fear8jf.bmp,5,2
3,media/fear5jm.bmp media/happy6jm.bmp media/fear7jf.bmp,5,2
0,media/Cross.bmp media/blank.bmp media/blank.bmp,10,0
2,media/mform.bmp media/blank.bmp media/blank.bmp,2,0
4,media/vertical.bmp media/horizontal.bmp media/vertical.bmp,5,2
4,media/circle.bmp media/horizontal.bmp media/circle.bmp,5,2
4,media/horizontal.bmp media/horizontal.bmp media/circle.bmp,5,1
4,media/circle.bmp media/circle.bmp media/vertical.bmp,5,1
4,media/vertical.bmp media/circle.bmp media/vertical.bmp,5,2
